Designator,Mid X,Mid Y,Rotation,Layer
D1,38.940392,-51.794794,0.0,bottom
D10,86.451075,-85.544167,90.0,top
D11,38.896907,-70.901575,0.0,bottom
D12,38.753838,-89.951575,0.0,bottom
D13,58.168531,-51.794794,0.0,bottom
D14,58.435088,-71.000021,0.0,bottom
D15,57.998292,-90.178833,0.0,bottom
D16,77.283108,-51.851575,0.0,bottom
D17,77.322545,-71.003934,0.0,bottom
D18,77.235601,-89.949238,0.0,bottom
D2,48.278838,-47.247825,90.0,top
D3,67.328838,-47.247825,90.0,top
D4,86.378838,-47.247825,90.0,top
D5,48.278838,-66.297825,90.0,top
D6,67.328838,-66.297825,90.0,top
D7,86.672462,-66.496503,90.0,top
D8,48.278838,-85.347825,90.0,top
D9,67.672957,-85.544167,90.0,top
J1,31.397807,-27.971975,0.0,top
SW1,38.967767,-45.580023,0.0,top
SW11,76.972588,-27.932825,90.0,top
SW2,58.01275,-45.584076,0.0,top
SW3,77.073336,-45.587742,0.0,top
SW4,38.96275,-64.634076,0.0,top
SW5,58.01275,-64.634076,0.0,top
SW6,77.058531,-64.636391,0.0,top
SW7,38.960192,-83.634545,0.0,top
SW8,58.008838,-83.684075,0.0,top
SW9,77.089327,-83.666568,0.0,top
U1,57.920671,-27.136357,0.0,bottom
